UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
115911,0,99 49 21.01,21 37 46.14,-99.82250203,21.62948325,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,true,,1,,San Ciro de Acosta,27
115915,49032,99 43 31.61,21 37 41.06,-99.72544677,21.62807349,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,true,false,false,false,false,true,,1,,Lagunillas,19
115955,49052,98 45 18.09,21 36 38.2,-98.7550256,21.6106102,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tampamolón Corona,39
115995,49072,97 47 5.63,21 35 13.23,-97.7848966,21.58700857,Veracruz de Ignacio de la Llave,CENTRO-SUR,INFyS_2015,true,false,true,false,false,false,false,false,,1,,Ozuluama de Mascareñas,121
116016,0,89 56 55.5,21 10 12.86,-89.94875113,21.17023795,Yucatán,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Hunucmá,38
116018,49084,89 54 2.01,21 9 59.12,-89.90055746,21.16642284,Yucatán,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Hunucmá,38
116032,49091,89 33 47.74,21 8 21.44,-89.5632623,21.13928955,Yucatán,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Mérida,50
116036,49093,89 28 0.9,21 7 53.05,-89.46691728,21.13140206,Yucatán,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Mocochá,51
116072,49111,88 36 1.2,21 3 27.63,-88.60033349,21.05767542,Yucatán,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Cenotillo,12
116076,49113,88 30 14.77,21 2 57.05,-88.50410337,21.04918035,Yucatán,SURESTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Cenotillo,12
116078,49114,88 27 21.6,21 2 41.67,-88.45599901,21.04490951,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Espita,32
116098,49124,87 58 30.26,21 0 4.96,-87.97507344,21.00137675,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Temozón,85
116112,49131,87 38 19.02,20 58 12.01,-87.63861735,20.97000246,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Chemax,19
116116,49133,87 32 33.04,20 57 39.25,-87.54251047,20.96090217,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Lázaro Cárdenas,7
116118,49134,87 29 40.08,20 57 22.79,-87.49446672,20.95632982,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Lázaro Cárdenas,7
116138,49144,87 0 51.08,20 54 35.19,-87.01418895,20.90977383,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Benito Juárez,5
116144,49147,86 52 12.61,20 53 43.85,-86.87017016,20.89551269,Quintana Roo,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Benito Juárez,5
116617,0,105 12 38.71,21 39 24.2,-105.2107521,21.65672231,Nayarit,CENTRO NORTE - OCCIDENTE,IMyCA,true,false,false,false,false,false,false,false,,1,,San Blas,12
116629,48695,104 55 10.37,21 39 45.15,-104.919546,21.66254101,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Tepic,17
116639,0,104 40 36.7,21 40 1.09,-104.6768622,21.66696871,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tepic,17
116649,48705,104 26 3,21 40 15.64,-104.4341654,21.67101023,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,La Yesca,19
116669,48715,103 56 55.4,21 40 40.6,-103.9487218,21.67794504,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,La Yesca,19
116679,48720,103 42 21.52,21 40 51.01,-103.7059776,21.68083484,Jalisco,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,San Martín de Bolaños,76
116689,48725,103 27 47.64,21 41 0.03,-103.4632335,21.6833428,Zacatecas,NORTE-NORESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tepechitlán,45
116699,48730,103 13 13.7,21 41 7.68,-103.2204736,21.68546566,Zacatecas,NORTE-NORESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tlaltenango de Sánchez Román,48
116719,48740,102 44 5.78,21 41 18.81,-102.7349391,21.68855803,Jalisco,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Villa Hidalgo,116
116759,48760,101 45 49.79,21 41 24.49,-101.7638306,21.69013718,Jalisco,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Ojuelos de Jalisco,64
116819,48790,100 18 26.04,21 40 51.53,-100.3072337,21.68098168,Guanajuato,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,San Luis de la Paz,33
116829,48795,100 3 52.2,21 40 41.2,-100.0644986,21.67811054,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Rioverde,24
116849,48805,99 34 44.59,21 40 16.39,-99.57905341,21.67121963,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Lagunillas,19
116859,0,99 20 10.85,21 40 1.91,-99.33634848,21.66719767,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Santa Catarina,31
116869,48815,99 5 37.19,21 39 46.05,-99.09366367,21.66279077,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Aquismón,3
116879,48820,98 51 3.56,21 39 28.81,-98.85098818,21.65800216,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,San Antonio,26
116909,48835,98 7 23.13,21 38 28.79,-98.12309251,21.6413295,Veracruz de Ignacio de la Llave,CENTRO-SUR,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tempoal,161
116943,0,89 50 53.78,21 12 28.07,-89.8482736,21.20779726,Yucatán,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Progreso,59
116945,0,89 48 0.22,21 12 14.22,-89.80006211,21.20394981,Yucatán,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Progreso,59
116949,0,89 42 13.17,21 11 46.36,-89.70365707,21.19621013,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Progreso,59
116969,0,89 13 18.48,21 9 23.77,-89.22180052,21.15660214,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Motul,52
116989,48875,88 44 24.84,21 6 55.71,-88.74023314,21.11547625,Yucatán,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Temax,84
117009,48885,88 15 32.29,21 4 22.2,-88.25897035,21.07283442,Yucatán,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Espita,32
117019,48890,88 1 6.41,21 3 3.41,-88.01844723,21.05094682,Yucatán,SURESTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Tizimín,96
117029,48895,87 46 40.85,21 1 43.25,-87.77801283,21.02867963,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tizimín,96
117039,48900,87 32 15.54,21 0 21.73,-87.53764876,21.0060358,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tizimín,96
117049,48905,87 17 50.55,20 58 58.84,-87.29737616,20.98301169,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Benito Juárez,5
117059,48910,87 3 25.85,20 57 34.61,-87.05718117,20.95961294,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Benito Juárez,5
117067,48914,86 51 54.29,20 56 26.24,-86.86508084,20.94062197,Quintana Roo,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Benito Juárez,5
117527,0,105 27 16.44,21 41 48.55,-105.4545664,21.69681816,Nayarit,CENTRO NORTE - OCCIDENTE,IMyCA,true,false,true,false,true,false,true,false,,1,,Santiago Ixcuintla,15
117557,48472,104 43 34.76,21 42 41.35,-104.7263235,21.71148616,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tepic,17
117571,48479,104 23 11.14,21 43 1.73,-104.3864287,21.71714684,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,La Yesca,19
117577,48482,104 14 26.71,21 43 9.64,-104.2407525,21.71934401,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,La Yesca,19
117591,48489,103 54 2.94,21 43 26.15,-103.9008158,21.72392936,Jalisco,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,San Martín de Bolaños,76
117597,0,103 45 18.42,21 43 32.39,-103.755118,21.72566457,Jalisco,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Chimaltitán,31
117611,48499,103 24 54.57,21 43 45.04,-103.4151592,21.72917652,Zacatecas,NORTE-NORESTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Tlaltenango de Sánchez Román,48
