UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
71445,59986,19 32 39,-104 03 40,-104.061111,19.544167,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tolimán,99
71451,0,19 32 46,-103 55 04,-103.917778,19.546111,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,true,false,false,,1,,Tolimán,99
71465,59996,19 33 00,-103 34 60,-103.583333,19.55,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tuxpan,108
71485,60006,19 33 15,-103 06 19,-103.105278,19.554167,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tamazula de Gordiano,85
71491,0,19 33 19,-102 57 43,-102.961944,19.555278,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Santa María del Oro,56
71505,60016,19 33 25,-102 37 39,-102.6275,19.556944,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tocumbo,95
71525,60026,19 33 30,-102 08 58,-102.149444,19.558333,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Uruapan,102
71531,60029,19 33 30,-102 00 22,-102.006111,19.558333,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,true,false,false,false,,1,,Uruapan,102
71551,60039,19 33 27,-101 31 42,-101.528333,19.5575,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,false,false,false,false,false,,1,,Pátzcuaro,66
71571,60049,19 33 19,-101 03 01,-101.050278,19.555278,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Tzitzio,101
71585,60056,19 33 10,-100 42 57,-100.715833,19.552778,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Hidalgo,34
71591,60059,19 33 06,-100 34 20,-100.572222,19.551667,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Tuxpan,98
71605,60066,19 32 53,-100 14 16,-100.237778,19.548056,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Ocampo,61
71671,60099,19 31 17,-98 39 40,-98.661111,19.521389,Tlaxcala,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Calpulalpan,6
71705,60116,19 30 05,-97 50 57,-97.849167,19.501389,Puebla,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Ixtacamaxtitlán,83
71784,60156,19 07 03,-90 27 54,-90.465,19.1175,Campeche,SURESTE,INFYS,true,false,true,true,false,true,false,false,,1,,Champotón,4
71790,60159,19 05 30,-90 07 57,-90.1325,19.091667,Campeche,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Champotón,4
71804,60166,19 04 49,-89 59 25,-89.990278,19.080278,Campeche,SURESTE,INFYS,true,false,true,true,false,false,false,false,,1,,Champotón,4
71810,60169,19 03 12,-89 39 29,-89.658056,19.053333,Campeche,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Champotón,4
71824,60176,19 02 30,-89 30 56,-89.515556,19.041667,Campeche,SURESTE,INFYS,true,false,true,true,false,true,false,false,,1,,Calakmul,10
71830,60179,19 00 50,-89 11 01,-89.183611,19.013889,Campeche,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,Calakmul,10
71844,60186,18 58 21,-88 42 35,-88.709722,18.9725,Campeche,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Hopelchén,6
71864,60196,18 57 36,-88 34 03,-88.5675,18.96,Quintana Roo,SURESTE,INFYS,true,false,true,true,false,true,false,false,,1,,Othón P. Blanco,4
71870,60199,18 55 48,-88 14 10,-88.236111,18.93,Quintana Roo,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Othón P. Blanco,4
71884,60206,18 54 45,-88 02 48,-88.046667,18.9125,Quintana Roo,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
71892,60210,18 53 09,-87 45 45,-87.7625,18.885833,Quintana Roo,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Othón P. Blanco,4
71904,60216,19 34 21,-105 03 56,-105.065556,19.5725,Quintana Roo,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
72416,0,19 34 38,-104 49 36,-104.826667,19.577222,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,La Huerta,43
72426,59718,19 34 53,-104 35 15,-104.5875,19.581389,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,La Huerta,43
72436,59723,19 35 07,-104 20 55,-104.348611,19.585278,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Casimiro Castillo,21
72446,59728,19 35 20,-104 06 35,-104.109722,19.588889,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,true,false,false,,1,,Cuautitlán de García Barragán,27
72456,59733,19 35 41,-103 37 54,-103.631667,19.594722,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tuxcacuesco,106
72476,59743,19 35 57,-103 09 13,-103.153611,19.599167,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,true,false,false,,1,,San Gabriel,113
72496,0,19 36 08,-102 40 32,-102.675556,19.602222,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,true,false,false,,1,,Tamazula de Gordiano,85
72516,0,19 36 11,-102 26 11,-102.436389,19.603056,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tocumbo,95
72526,59768,19 36 12,-102 11 51,-102.1975,19.603333,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,true,false,false,,1,,Los Reyes,75
72536,59773,19 36 12,-101 43 09,-101.719167,19.603333,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Uruapan,102
72556,59783,19 36 10,-101 28 49,-101.480278,19.602778,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Erongarícuaro,32
72566,59788,19 36 01,-101 00 08,-101.002222,19.600278,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tzintzuntzan,100
72586,59798,19 35 55,-100 45 47,-100.763056,19.598611,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Charo,22
72596,59803,19 35 47,-100 31 27,-100.524167,19.596389,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,true,false,false,false,,1,,Hidalgo,34
72606,59808,19 35 03,-99 34 05,-99.568056,19.584167,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,true,false,false,false,,1,,Tuxpan,98
72646,59828,19 33 15,-98 08 04,-98.134444,19.554167,México,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Jiquipilco,47
72706,0,19 32 53,-97 53 44,-97.895556,19.548056,Tlaxcala,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Atlangatepec,3
72716,59863,19 31 36,-97 10 45,-97.179167,19.526667,Tlaxcala,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,Emiliano Zapata,46
72746,59878,19 30 39,-96 42 06,-96.701667,19.510833,Veracruz de Ignacio de la Llave,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Perote,128
