UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
227571,21072,27 23 44,-107 41 17,-107.6880556,27.3955556,Chihuahua,NOROESTE,INFYS,true,false,true,true,false,false,false,false,1,1,2,Guachochi,8027
227581,21077,27 24 15,-107 26 05,-107.4347222,27.4041667,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,6,1,2,Guachochi,8027
227591,21082,27 24 45,-107 10 52,-107.1811111,27.4125,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,true,1,1,2,Guachochi,8027
227601,21087,27 25 14,-106 55 40,-106.9277778,27.4205556,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,6,1,2,Nonoava,8049
227771,21172,27 29 42,-102 36 56,-102.6155556,27.495,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Ocampo,5023
228423,20735,27 07 17,-113 36 29,-113.6080556,27.1213889,Baja California Sur,NOROESTE,INFYS,true,false,false,false,false,false,false,false,4,1,2,Mulegé,3002
228443,0,27 09 26,-113 06 12,-113.1033333,27.1572222,Baja California Sur,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Mulegé,3002
228463,20755,27 11 29,-112 35 55,-112.5986111,27.1913889,Baja California Sur,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Mulegé,3002
228541,0,27 23 19,-109 00 27,-109.0075,27.3886111,Sonora,NOROESTE,INFYS,true,false,false,false,true,false,false,false,1,1,2,Alamos,26003
228543,20795,27 23 27,-108 57 25,-108.9569444,27.3908333,Sonora,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Alamos,26003
228561,0,27 24 36,-108 30 03,-108.5008333,27.41,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Chínipas,8020
228563,20805,27 24 43,-108 27 01,-108.4502778,27.4119444,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,false,4,1,2,Chínipas,8020
228581,20814,27 25 47,-107 59 39,-107.9941667,27.4297222,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,false,1,1,2,Urique,8065
228583,20815,27 25 53,-107 56 36,-107.9433333,27.4313889,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Urique,8065
228601,20824,27 26 52,-107 29 14,-107.4872222,27.4477778,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,4,1,2,Guachochi,8027
228603,20825,27 26 58,-107 26 12,-107.4366667,27.4494444,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,4,1,2,Guachochi,8027
228621,20834,27 27 51,-106 58 49,-106.9802778,27.4641667,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Guachochi,8027
228623,20835,27 27 57,-106 55 46,-106.9294444,27.4658333,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Nonoava,8049
228643,20845,27 28 50,-106 25 20,-106.4222222,27.4805556,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Satevó,8061
228663,0,27 29 37,-105 54 54,-105.915,27.4936111,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Valle de Zaragoza,8067
228683,0,27 30 19,-105 24 27,-105.4075,27.5052778,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,San Francisco de Conchos,8058
228703,0,27 30 55,-104 54 00,-104.9,27.5152778,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Camargo,8011
228723,0,27 31 25,-104 23 33,-104.3925,27.5236111,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Jiménez,8036
228743,0,27 31 49,-103 53 06,-103.885,27.5302778,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Jiménez,8036
228763,0,27 32 08,-103 22 38,-103.3772222,27.5355556,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Ocampo,5023
228783,0,27 32 20,-102 52 11,-102.8697222,27.5388889,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Ocampo,5023
228803,0,27 32 27,-102 21 43,-102.3619444,27.5408333,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Ocampo,5023
228823,0,27 32 29,-101 51 15,-101.8541667,27.5413889,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,true,false,false,true,1,1,2,San Buenaventura,5031
228843,0,27 32 24,-101 20 47,-101.3463889,27.54,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Progreso,5026
228863,0,27 32 14,-100 50 20,-100.8388889,27.5372222,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Juárez,5015
228883,20965,27 31 58,-100 19 52,-100.3311111,27.5327778,Nuevo Le¾n,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,4,1,2,Anáhuac,19005
229565,0,27 25 54,-109 03 38,-109.0605556,27.4316667,Sonora,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Quiriego,26049
229575,0,27 26 33,-108 48 26,-108.8072222,27.4425,Sonora,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Alamos,26003
229585,0,27 27 11,-108 33 14,-108.5538889,27.4530556,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Chínipas,8020
229595,20552,27 27 48,-108 18 02,-108.3005556,27.4633333,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Guazapares,8030
229605,20557,27 28 23,-108 02 49,-108.0469444,27.4730556,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,true,false,false,1,1,2,Urique,8065
229615,0,27 28 56,-107 47 36,-107.7933333,27.4822222,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Urique,8065
